,Unnamed: 0,Date,Name,Place,URL,min_temp,max_temp,uv_index,weather_desc
733,733,sam. 26.05.2007,Pfingstlauf Wohlen AG,Wohlen AG,http://services.datasport.com/2007/lauf/wohlen,,,,
734,734,mer. 23.05.2007,BCN Tour Le Locle,Couvet,http://services.datasport.com/2007/lauf/tdcn/etape5,,,,
735,735,dim. 20.05.2007,Winterthur Marathon,Winterthur,http://services.datasport.com/2007/lauf/winterthur,,,,
736,736,dim. 20.05.2007,"Dreiländer-Lauf, Basel",Basel,http://services.datasport.com/2007/lauf/dreilaender,,,,
737,737,sam. 19.05.2007,Lenzburger Lauf,Lenzburg,http://services.datasport.com/2007/lauf/lburger,,,,
738,738,jeu. 17.05.2007,"Flughafenlauf, Kloten",Kloten,http://services.datasport.com/2007/zkb/flughafen,,,,
739,739,mer. 16.05.2007,BCN Tour La Brévine,La Chaux-de-Fonds,http://services.datasport.com/2007/lauf/tdcn/etape4,,,,
740,740,mer. 09.05.2007,BCN Tour Les Ponts-de-Martel,Les Ponts-de-Martel,http://services.datasport.com/2007/lauf/tdcn/etape3,,,,
741,741,sam. 05.05.2007,Fläckelauf Beromünster,Beromünster,http://services.datasport.com/2007/lauf/flaeckelauf,,,,
742,742,mer. 02.05.2007,BCN Tour Cernier,Chézard-St-Martin,http://services.datasport.com/2007/lauf/tdcn/etape2,,,,
743,743,mar. 01.05.2007,"Sihltaler Frühlingslauf, Gattikon",Gattikon,http://services.datasport.com/2007/lauf/sihltaler,,,,
744,744,sam. 30.06.2007,Hellebardenlauf Sempach,Sempach Stadt,http://services.datasport.com/2007/lauf/sempach,,,,
745,745,sam. 30.06.2007,"Engelbergertal Trophy, Engelberg",Engelberg,http://services.datasport.com/2007/diverse/trophy,,,,
746,746,ven. 29.06.2007,"Derendinger Abendlauf, Derendingen",Derendingen,http://services.datasport.com/2007/lauf/derendingen,,,,
747,747,dim. 24.06.2007,"Aletsch-Halbmarathon, Bettmeralp",Bettmeralp,http://services.datasport.com/2007/lauf/gletscherlauf,,,,
748,748,dim. 24.06.2007,Montreux - Les Rochers de Naye,Montreux,http://services.datasport.com/2007/lauf/montreux,,,,
749,749,dim. 24.06.2007,"Murilauf, Muri b. Bern",Muri b. Bern,http://services.datasport.com/2007/lauf/murilauf,,,,
750,750,sam. 23.06.2007,Int. Halbmarathon Full-Reuenthal,Full-Reuenthal,http://services.datasport.com/2007/lauf/full,,,,
751,751,sam. 23.06.2007,"Graubünden Marathon/Walking, Lenzerheide",Lenzerheide/Lai,http://services.datasport.com/2007/lauf/grmarathon,,,,
752,752,ven. 22.06.2007,"Fête du Stade, Neuchâtel",Neuchâtel,http://services.datasport.com/2007/lauf/fetene,,,,
753,753,sam. 16.06.2007,"Wylandlauf, Andelfingen",Andelfingen,http://services.datasport.com/2007/zkb/wyland,,,,
754,754,sam. 16.06.2007,"Défi Val-de-Travers, Couvet",Couvet,http://services.datasport.com/2007/lauf/defi,,,,
755,755,ven. 15.06.2007,"Bieler Lauftage, Biel/Bienne",Biel/Bienne,http://services.datasport.com/2007/lauf/biel,,,,
756,756,mar. 12.06.2007,"Töss-Stafette, Winterthur",Winterthur,http://services.datasport.com/2007/lauf/toess,,,,
757,757,dim. 10.06.2007,Schweizer Frauenlauf Bern,Bern,http://services.datasport.com/2007/lauf/frauenlauf,,,,
758,758,dim. 10.06.2007,Course de montagne Sierre Crans-Montana,Sierre,http://services.datasport.com/2007/lauf/sierremontana,,,,
759,759,ven. 08.06.2007,Churer Lauf Parade,Chur,http://services.datasport.com/2007/lauf/chur,,,,
760,760,sam. 02.06.2007,"Baldeggerseelauf, Hitzkirch",Hitzkirch,http://services.datasport.com/2007/lauf/baldegger,,,,
761,761,jeu. 31.05.2007,"Tzampata, Escaliers à Fribourg",Fribourg,http://services.datasport.com/2007/diverse/tzampata,,,,
762,762,sam. 21.07.2007,"Tour des alpages, Anzère",Anzère,http://services.datasport.com/2007/lauf/alpages,,,,
763,763,ven. 20.07.2007,"Aegeriseelauf, Oberägeri",Oberägeri,http://services.datasport.com/2007/lauf/aegeri,,,,
764,764,sam. 07.07.2007,"Zermatt Marathon, Zermatt",Zermatt,http://services.datasport.com/2007/lauf/zermattmarathon,,,,
765,765,mer. 29.08.2007,Tour du Pays de Vaud etape 3 - Aubonne,Champvent,http://services.datasport.com/2007/lauf/tdpv/aubonne/,,,,
766,766,mer. 29.08.2007,Liestaler Stadtlauf,Liestal,http://services.datasport.com/2007/lauf/liestal,,,,
767,767,dim. 26.08.2007,"Thuner Stadtlauf, Thun",Thun,http://services.datasport.com/2007/lauf/thunstadt,,,,
768,768,dim. 26.08.2007,"Engadiner Sommerlauf, Samedan",Bever,http://services.datasport.com/2007/lauf/engadin,,,,
769,769,dim. 26.08.2007,Run&Walk; Event Rothenburg,Rothenburg,http://services.datasport.com/2007/lauf/fitevent,,,,
770,770,dim. 26.08.2007,Dorflauf Möhlin,Möhlin,http://services.datasport.com/2007/lauf/moehlin,,,,
771,771,dim. 26.08.2007,"Rheinfall-Lauf, Neuhausen",Neuhausen am Rheinfall,http://services.datasport.com/2007/lauf/rheinfall,,,,
772,772,dim. 26.08.2007,Alpenmarathon / Marathon des Alpages,Anzère,http://services.datasport.com/2007/lauf/maraalp/,,,,
773,773,sam. 25.08.2007,Frauenfelder Stadtlauf,Frauenfeld,http://services.datasport.com/2007/lauf/frauenfeld,,,,
774,774,sam. 25.08.2007,Herbstlauf Muri AG,Muri AG,http://services.datasport.com/2007/lauf/herbstlauf,,,,
775,775,sam. 25.08.2007,"Rund um den Bielersee, RUBI",Biel/Bienne,http://services.datasport.com/2007/lauf/rubi,,,,
776,776,mer. 22.08.2007,Tour du Pays de Vaud etape 2 - Payerne,Payerne,http://services.datasport.com/2007/lauf/tdpv/payerne,,,,
777,777,mer. 22.08.2007,Emmenlauf Utzenstorf,Utzenstorf,http://services.datasport.com/2007/lauf/emme,,,,
778,778,sam. 18.08.2007,"Internationaler Matterhornlauf, Zermatt",Zermatt,http://services.datasport.com/2007/lauf/matterhorn,,,,
779,779,sam. 18.08.2007,"Inferno Halbmarathon, Mürren",Mürren,http://services.datasport.com/2007/tri/inferno,,,,
780,780,mer. 15.08.2007,Tour du Pays de Vaud etape 1 - Le Mont sur Lausanne,Yverdon-les-Bains,http://services.datasport.com/2007/lauf/tdpv/lemont/,,,,
